title,summary,release_date,genre,director,duration,imdb_id,country,sitelinks,year
,3,1957-01-01T00:00:00Z,children and youth program,,,tt0050022,,4,1957
,1,1958-01-01T00:00:00Z,,Curt Siodmak,,tt0247751,,3,1958
,2,1959-01-01T00:00:00Z,science fiction television program,,,,,5,1959
,1,1964-01-01T00:00:00Z,adventure film,,,tt0167516,,4,1964
,1,1970-01-01T00:00:00Z,,Claude de Givray,360,tt0175396,,3,1970
,1,1971-01-01T00:00:00Z,"drama film, biographical film, historical film",Renato Castellani,,tt0068854,,12,1971
,1,1972-01-01T00:00:00Z,,Salvatore Nocita,,tt0437738,,2,1972
,0,1973-03-23T00:00:00Z,"science fiction film, post-apocalyptic film",John Llewellyn Moxey,74,tt0064366,,2,1973
,1,1974-01-01T00:00:00Z,"drama film, sword-and-sandal film",Gianfranco De Bosio,360,tt0072547,,10,1974
,1,1975-01-01T00:00:00Z,,,,tt0356294,,2,1975
,1,1976-03-26T00:00:00Z,"drama film, sword-and-sandal film",Gianfranco De Bosio,360,tt0072547,,10,1976
,1,1977-04-01T00:00:00Z,"drama film, sword-and-sandal film",Gianfranco De Bosio,360,tt0072547,,10,1977
,1,1979-01-01T00:00:00Z,drama film,Michael O'Herlihy,45,tt0078565,,4,1979
,1,1980-01-01T00:00:00Z,,Alessandro Cane,,tt0834521,,1,1980
,1,1981-01-01T00:00:00Z,"fairy tale, film based on a novel",Yefrem Pruzhanskyi,30,tt0211191,,12,1981
,1,1982-01-01T00:00:00Z,"drama film, biographical film",Giuliano Montaldo,504,tt0083446,,11,1982
,1,1983-01-01T00:00:00Z,"drama film, television series based on a novel",Daryl Duke,,tt0085101,,24,1983
,1,1986-12-07T00:00:00Z,drama film,Marvin J. Chomsky,208,tt0090638,,11,1986
,1,1987-01-01T00:00:00Z,"comedy film, detective fiction","Alexander Tatarsky, Igor Kovalyov",1235,tt3066856,,11,1987
,1,1988-01-03T00:00:00Z,film based on literature,Alberto Negrin,,tt0092448,,7,1988
,1,1989-01-01T00:00:00Z,drama television series,Ken Cameron,273,tt0096540,,13,1989
,1,1991-01-01T00:00:00Z,soap opera,Irving J. Moore,,tt0101788,,11,1991
,1,1993-06-06T00:00:00Z,film based on literature,Ken Russell,220,tt0104666,,7,1993
,1,1994-01-01T00:00:00Z,"drama film, television series based on a novel",John Erman,,tt0108915,,12,1994
,1,1995-01-01T00:00:00Z,documentary film,,240,tt0283181,,9,1995
,1,1996-01-01T00:00:00Z,television series based on a novel,Charles Sturridge,180,tt0115195,,10,1996
,1,1997-02-16T00:00:00Z,television series based on a novel,Charles Sturridge,180,tt0115195,,10,1997
,1,1998-01-01T00:00:00Z,"historical television series, adventure television series, romance television series, television series based on a novel",Josée Dayan,388,tt0167565,,15,1998
,1,1999-01-01T00:00:00Z,"horror film, adventure, thriller film",Craig R. Baxley,,tt0135659,,15,1999
,1,2000-01-01T00:00:00Z,"drama television series, historical television series, television series based on a novel",Josée Dayan,360,tt0230534,,13,2000
,1,2001-01-01T00:00:00Z,"drama film, war film, biographical film, drama television series, film based on book, war television series",Robert Dornhelm,189,tt0246430,,14,2001
,1,2002-01-01T00:00:00Z,horror fiction,Craig R. Baxley,245,tt0259153,,18,2002
,1,2003-01-01T00:00:00Z,nature documentary,Tim Haines,25,tt0370053,,15,2003
,1,2004-01-01T00:00:00Z,"drama film, fantasy film",Uli Edel,184,tt0387541,,19,2004
,1,2005-09-03T00:00:00Z,"drama television series, adventure television series, television series based on a novel, fantasy television series",Robert Lieberman,180,tt0407384,,16,2005
,1,2006-09-24T00:00:00Z,"drama television series, television series based on a novel",Susanna White,260,tt0780362,,14,2006
,1,2007-01-01T00:00:00Z,sitcom,"Pavlo Movchan, Kmetik Wolodymyr Iwanowytsch",12,tt6754684,,10,2007
,1,2009-01-01T00:00:00Z,adventure film,Peter Berg,87,tt1219836,,8,2009
,1,2010-01-01T00:00:00Z,"historical television series, television series based on a novel",Steve Shill,184,tt2009776,,14,2010
,1,2011-06-10T00:00:00Z,"historical television series, television series based on a novel",Steve Shill,184,tt2009776,,14,2011
,1,2012-01-01T00:00:00Z,"action film, science fiction film",Stewart Hendler,,tt2262308,,12,2012
,1,2013-03-03T00:00:00Z,epic film,Tony Mitchell,45,tt2245988,,19,2013
,1,2014-04-17T00:00:00Z,epic film,Tony Mitchell,45,tt2245988,,19,2014
,1,2015-01-01T00:00:00Z,historical play,,42,tt4074084,,11,2015
,1,2016-01-22T00:00:00Z,documentary film,Ezra Edelman,467,tt5275892,,17,2016
,1,2017-01-01T00:00:00Z,"drama, historical drama, LGBT-related film",Michael Samuels,120,tt6255500,,11,2017
,3,2018-01-05T00:00:00Z,"drama film, biographical film, historical film",Robert Dornhelm,400,tt6777286,,9,2018
,3,2019-12-27T00:00:00Z,"drama film, biographical film, historical film",Robert Dornhelm,400,tt6777286,,9,2019
,1,2022-01-01T00:00:00Z,documentary film,Rodrigo Films,,tt22025522,,1,2022
,1,2023-01-17T00:00:00Z,documentary film,,,tt26422307,,8,2023
,1,2024-04-23T00:00:00Z,"documentary film, biographical sports film","Xavier Torres Lliteras, Santi Padró Navarro, Jesús Muñoz García",90,tt32306162,,1,2024
