title,summary,release_date,genre,director,duration,imdb_id,country,sitelinks,wikipedia_link,year
Gladiator,,2023-05-19T00:00:00Z,"drama film, action film, adventure film, epic film, sword-and-sandal film, melodrama, historical film",Ridley Scott,155,tt0172495,,108,https://en.wikipedia.org/wiki/Gladiator,2023
Oppenheimer,,2023-07-20T00:00:00Z,"drama film, biographical film, epic film, thriller film, historical film, film based on book",Christopher Nolan,180,tt15398776,,77,https://en.wikipedia.org/wiki/Oppenheimer,2023
Barbie,,2023-01-01T00:00:00Z,"fantasy film, comedy film, adventure film, musical film, romantic comedy, romance film, teen film, family film, musical comedy, chick flick, satirical film or television program, fantasy comedy film",Greta Gerwig,114,tt1517268,,69,https://en.wikipedia.org/wiki/Barbie,2023
Spider-Man: Across the Spider-Verse,,2023-06-01T00:00:00Z,"comedy film, action film, superhero film, action comedy film, drama fiction","Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",140,tt9362722,,57,https://en.wikipedia.org/wiki/Spider-Man%3A_Across_the_Spider-Verse,2023
Guardians of the Galaxy Vol. 3,,2023-04-22T00:00:00Z,"comedy film, action film, adventure film, space opera, science fiction film, superhero film, speculative fiction film",James Gunn,150,tt6791350,,54,https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_Vol._3,2023
The Super Mario Bros. Movie,,2023-04-05T00:00:00Z,"fantasy film, comedy film, adventure film, isekai","Michael Jelenic, Aaron Horvath",92,tt6718170,,53,https://en.wikipedia.org/wiki/The_Super_Mario_Bros._Movie,2023
Indiana Jones and the Dial of Destiny,,2023-05-18T00:00:00Z,"action film, adventure film",James Mangold,154,tt1462764,,52,https://en.wikipedia.org/wiki/Indiana_Jones_and_the_Dial_of_Destiny,2023
Mission: Impossible – Dead Reckoning Part One,,2023-07-12T00:00:00Z,"action film, spy film",Christopher McQuarrie,163,tt9603212,,51,https://en.wikipedia.org/wiki/Mission%3A_Impossible_%E2%80%93_Dead_Reckoning_Part_One,2023
Killers of the Flower Moon,,2023-05-20T00:00:00Z,"drama film, Western film, epic film, crime film, thriller film, crime thriller film, detective film, film based on book, crime drama film",Martin Scorsese,206,tt5537002,,51,https://en.wikipedia.org/wiki/Killers_of_the_Flower_Moon,2023
Ant-Man and the Wasp: Quantumania,,2023-02-15T00:00:00Z,"fantasy film, comedy film, action film, adventure film, science fiction film, thriller film",Peyton Reed,124,tt10954600,,50,https://en.wikipedia.org/wiki/Ant-Man_and_the_Wasp%3A_Quantumania,2023
Fast X,,2023-05-17T00:00:00Z,action film,Louis Leterrier,141,tt5433140,,48,https://en.wikipedia.org/wiki/Fast_X,2023
John Wick: Chapter 4,,2023-03-22T00:00:00Z,"action film, adventure film, crime film, neo-noir, action thriller",Chad Stahelski,169,tt10366206,,48,https://en.wikipedia.org/wiki/John_Wick%3A_Chapter_4,2023
Poor Things,,2023-09-01T00:00:00Z,"black comedy, fantasy film, thriller film, film based on a novel, arthouse science fiction film",Yorgos Lanthimos,141,tt14230458,,48,https://en.wikipedia.org/wiki/Poor_Things,2023
Wish,,2023-11-08T00:00:00Z,"fantasy film, adventure film, musical film, family film, cinematic fairy tale","Chris Buck, Fawn Veerasunthorn",95,tt11304740,,48,https://en.wikipedia.org/wiki/Wish,2023
The Flash,,2023-06-14T00:00:00Z,"drama film, action film, adventure film, science fiction film, superhero film, time-travel film",Andy Muschietti,144,tt0439572,,47,https://en.wikipedia.org/wiki/The_Flash,2023
Dilwale Dulhania Le Jayenge,,2023-03-22T00:00:00Z,"drama film, comedy film, musical film, comedy drama, romance film, coming-of-age fiction",Aditya Chopra,245,tt0112870,,46,https://en.wikipedia.org/wiki/Dilwale_Dulhania_Le_Jayenge,2023
The Marvels,,2023-11-08T00:00:00Z,"action film, adventure film, science fiction film",Nia DaCosta,105,tt10676048,,46,https://en.wikipedia.org/wiki/The_Marvels,2023
