title,release_date,genre,director,duration,imdb_id,country,year
The Simple Things,1953-04-18T00:00:00Z,,Charles August Nichols,7,tt0046318,United States,1953
"Duck! Rabbit, Duck!",1953-01-01T00:00:00Z,,Chuck Jones,7,tt0045710,United States,1953
"The Crow and the Fox, the Cuckoo and the Rooster",1953-01-01T00:00:00Z,,Ivan Aksenchuk,,tt4164606,Soviet Union,1953
"Toot, Whistle, Plunk and Boom",1953-11-10T00:00:00Z,"documentary film, musical film","Charles August Nichols, Ward Kimball",10,tt0046442,United States,1953
Canvas Back Duck,1953-01-01T00:00:00Z,boxing film,Jack Hannah,7,tt0045597,United States,1953
Magic Bird,1953-01-01T00:00:00Z,,Viktor Gromov,1242,tt4158588,Soviet Union,1953
Johann Mouse,1953-01-01T00:00:00Z,musical film,"Joseph Barbera, William Hanna",8,tt0045937,United States,1953
Robot Rabbit,1953-01-01T00:00:00Z,,Friz Freleng,,tt0046249,United States,1953
The Three Little Pups,1953-01-01T00:00:00Z,"comedy film, family film",Tex Avery,388,tt0046423,United States,1953
Belle Boys,1953-01-01T00:00:00Z,,Don Patterson,,tt0149837,United States,1953
Fowl Weather,1953-01-01T00:00:00Z,,Friz Freleng,,tt0045788,United States,1953
Duck Dodgers in the 24½th Century,1953-07-25T00:00:00Z,"comedy film, family film, science fiction film, speculative fiction",Chuck Jones,7,tt0045709,United States,1953
Two Little Indians,1953-01-01T00:00:00Z,,Joseph Barbera,6,tt0046473,United States,1953
Duck Amuck,1953-01-01T00:00:00Z,"comedy film, family film, fantasy film",Chuck Jones,7,tt0045708,United States,1953
Bratya Lyu,1953-01-01T00:00:00Z,,Dmitriy Babichenko,27,tt2407346,Soviet Union,1953
There Auto Be a Law,1953-01-01T00:00:00Z,,Robert McKimson,7,tt0046418,United States,1953
Ben and Me,1953-01-01T00:00:00Z,,Hamilton Luske,25,tt0045550,United States,1953
Barney's Hungry Cousin,1953-01-01T00:00:00Z,,Dick Lundy,,tt0045543,United States,1953
Plop Goes the Weasel,1953-01-01T00:00:00Z,,Robert McKimson,7,tt0046195,United States,1953
The Painted Fox,1953-01-01T00:00:00Z,fairy tale,Aleksandr Ivanov,,tt6114970,Soviet Union,1953
Buccaneer Woodpecker,1953-01-01T00:00:00Z,pirate film,Don Patterson,,tt0149972,United States,1953
Bully for Bugs,1953-01-01T00:00:00Z,"comedy, family film",Chuck Jones,431,tt0045585,United States,1953
Hot Noon,1953-01-01T00:00:00Z,"Western film, comedy film",Paul J. Smith,,tt0150961,United States,1953
The Missing Mouse,1953-01-01T00:00:00Z,,Joseph Barbera,6,tt0046078,United States,1953
How to Sleep,1953-01-01T00:00:00Z,,Jack Kinney,,tt0045892,United States,1953
The Story of King Midas,1953-01-01T00:00:00Z,,Ray Harryhausen,10,tt0450163,United States,1953
Snow Business,1953-01-01T00:00:00Z,,Friz Freleng,,tt0046332,United States,1953
That's My Pup!,1953-01-01T00:00:00Z,,Joseph Barbera,7,tt0046417,United States,1953
Hypnotic Hick,1953-01-01T00:00:00Z,,Don Patterson,,tt0151002,United States,1953
Upswept Hare,1953-01-01T00:00:00Z,,Robert McKimson,,tt0046485,United States,1953
Punch Trunk,1953-01-01T00:00:00Z,,Chuck Jones,7,tt0046216,United States,1953
Hare Trimmed,1953-01-01T00:00:00Z,,Friz Freleng,,tt0045857,United States,1953
Wee-Willie Wildcat,1953-01-01T00:00:00Z,,Dick Lundy,,tt0046538,United States,1953
Operation Sawdust,1953-01-01T00:00:00Z,,Don Patterson,,tt0151846,United States,1953
The T.V. of Tomorrow,1953-01-01T00:00:00Z,,Tex Avery,7,tt0046393,United States,1953
Tom Tom Tomcat,1953-01-01T00:00:00Z,"Western film, comedy film",Friz Freleng,,tt0046440,United States,1953
Little Johnny Jet,1953-01-01T00:00:00Z,,Tex Avery,8,tt0046005,United States,1953
For Whom the Bulls Toil,1953-01-01T00:00:00Z,,Jack Kinney,6,tt0045779,United States,1953
Hysterical History,1953-01-01T00:00:00Z,,Isadore Sparber,,tt0151004,United States,1953
Of Rice and Hen,1953-01-01T00:00:00Z,,Robert McKimson,,tt0046137,United States,1953
Rugged Bear,1953-01-01T00:00:00Z,,Jack Hannah,7,tt0046256,United States,1953
Don't Give Up the Sheep,1953-01-01T00:00:00Z,,Chuck Jones,7,tt0045697,United States,1953
The New Neighbor,1953-01-01T00:00:00Z,,Jack Hannah,7,tt0046125,United States,1953
Forward March Hare,1953-01-01T00:00:00Z,,Chuck Jones,7,tt0045786,United States,1953
A Is for Atom,1953-01-01T00:00:00Z,educational film,John Sutherland,14.5,tt0401091,United States,1953
A Mouse Divided,1953-01-01T00:00:00Z,,Friz Freleng,,tt0046098,United States,1953
Jerry and Jumbo,1953-01-01T00:00:00Z,,"Joseph Barbera, William Hanna",7,tt0045934,United States,1953
Cat-Tails for Two,1953-01-01T00:00:00Z,,Robert McKimson,,tt0045610,United States,1953
Southern Fried Rabbit,1953-01-01T00:00:00Z,,Friz Freleng,,tt0046350,United States,1953
Working for Peanuts,1953-01-01T00:00:00Z,,Jack Hannah,6,tt0046560,United States,1953
A Street Cat Named Sylvester,1953-01-01T00:00:00Z,,Friz Freleng,7,tt0046377,United States,1953
Catty Cornered,1953-01-01T00:00:00Z,,Friz Freleng,,tt0045612,United States,1953
The Man Between,1953-12-10T00:00:00Z,drama film,Carol Reed,101,tt0046031,United Kingdom,1953
The Wages of Fear,1953-09-11T00:00:00Z,"adventure film, drama film, film based on a novel",Henri-Georges Clouzot,148,tt0046268,France,1953
Robot Monster,1953-01-01T00:00:00Z,"comedy film, dystopian film",Phil Tucker,66,tt0046248,United States,1953
Martin Luther,1953-01-01T00:00:00Z,biographical film,Irving Pichel,105,tt0046051,United States,1953
Sister Alenushka and Brother Ivanushka,1953-01-01T00:00:00Z,fairy tale,Olga Khodataeva,,tt1070864,Soviet Union,1953
Lumber Jack-Rabbit,1953-01-01T00:00:00Z,,Chuck Jones,7,tt0047196,United States,1953
I Vitelloni,1953-08-26T00:00:00Z,"comedy film, drama film",Federico Fellini,100,tt0046521,France,1953
Sadko,1953-01-05T00:00:00Z,fantasy film,Aleksandr Ptushko,85,tt0046264,Soviet Union,1953
Just Ducky,1953-01-01T00:00:00Z,,Joseph Barbera,6,tt0045946,United States,1953
One Glass Too Many,1953-01-01T00:00:00Z,"animated film, puppet film",Břetislav Pojar,20,tt0244692,Czechoslovakia,1953
High Noon,1953-01-09T00:00:00Z,"Revisionist Western, Western film",Fred Zinnemann,85,tt0044706,United States,1953
Father's Day Off,1953-01-01T00:00:00Z,,Jack Kinney,7,tt0045756,United States,1953
Peter Pan,1953-02-05T00:00:00Z,musical film,"Clyde Geronimi, Hamilton Luske",76,tt0046183,United States,1953
Don's Fountain of Youth,1953-01-01T00:00:00Z,comedy film,Jack Hannah,6,tt0045696,United States,1953
Neapolitan Turk,1953-01-01T00:00:00Z,comedy film,Mario Mattoli,92,tt0046470,Italy,1953
Gentlemen Prefer Blondes,1953-07-01T00:00:00Z,romantic comedy,Howard Hawks,88,tt0045810,United States,1953
Q48800327,1953-01-01T00:00:00Z,,Romano Scarpa,9,tt0275590,Italy,1953
What's Sweepin',1953-01-01T00:00:00Z,,Don Patterson,,tt0153746,,1953
Little School Mouse,1954-01-01T00:00:00Z,,Joseph Barbera,7,tt0047182,United States,1954
The Flying Squirrel,1954-11-12T00:00:00Z,,Jack Hannah,7,tt0046989,United States,1954
The Cats Bah,1954-01-01T00:00:00Z,,Chuck Jones,7,tt0046838,United States,1954
"""Signature is illegible""",1954-01-01T00:00:00Z,,"Aleksandr Ivanov, Lev Pozdnejev",1067,,Soviet Union,1954
Hic-cup Pup,1954-01-01T00:00:00Z,,Joseph Barbera,6,tt0047084,United States,1954
Lumber Jack-Rabbit,1954-01-01T00:00:00Z,,Chuck Jones,7,tt0047196,United States,1954
Gone Batty,1954-01-01T00:00:00Z,,Robert McKimson,,tt0047038,United States,1954
Downhearted Duckling,1954-01-01T00:00:00Z,,Joseph Barbera,,tt0046929,United States,1954
Boo Moon,1954-01-01T00:00:00Z,"animated cartoon, comedy film, ghost film","Isadore Sparber, Seymour Kneitel",,tt0147912,United States,1954
My Little Duckaroo,1954-01-01T00:00:00Z,"Western film, comedy film",Chuck Jones,,tt0047256,United States,1954
Alley to Bali,1954-01-01T00:00:00Z,,Don Patterson,,tt0149628,United States,1954
Jumpin' Jupiter,1954-01-01T00:00:00Z,,Chuck Jones,7,tt0048236,United States,1954
Dixieland Droopy,1954-01-01T00:00:00Z,"animated film, comedy film, family film, musical film",Tex Avery,,tt0046917,United States,1954
Claws for Alarm,1954-01-01T00:00:00Z,comedy horror,Chuck Jones,7,tt0046862,United States,1954
The Farm of Tomorrow,1954-01-01T00:00:00Z,,Tex Avery,6,tt0046968,United States,1954
Convict Concerto,1954-01-01T00:00:00Z,,Don Patterson,,tt0150193,United States,1954
Dragon Around,1954-01-01T00:00:00Z,,Jack Hannah,7,tt0046932,United States,1954
Q56598934,1954-01-01T00:00:00Z,,,,,West Germany,1954
Animal Farm,1954-12-29T00:00:00Z,"drama film, satire","John Halas, Joy Batchelor",72,tt0047834,United Kingdom,1954
When Magoo Flew,1954-01-01T00:00:00Z,"comedy film, family film",Pete Burness,7,tt0047672,United States,1954
Posse Cat,1954-01-01T00:00:00Z,,Joseph Barbera,6,tt0047361,United States,1954
An Arrow Flies Into a Fairy Tale,1954-01-01T00:00:00Z,,Leonid Amalrik,,tt1794974,Soviet Union,1954
Man with the Steel Whip,1954-01-01T00:00:00Z,,Franklin Adreon,,tt0047210,United States,1954
